Epoch: [0][ 0/69] Time 22.410 (22.410) Data  7.584 ( 7.584) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0956e+01 (2.0956e+01) Inst_Loss_A 1.9246e+01 (1.9246e+01) Inst_Loss_B 2.2665e+01 (2.2665e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [0][10/69] Time  0.338 ( 2.337) Data  0.000 ( 0.690) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.4923e+01 (2.4494e+01) Inst_Loss_A 2.4976e+01 (2.4591e+01) Inst_Loss_B 2.4870e+01 (2.4396e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [0][20/69] Time  0.317 ( 1.375) Data  0.000 ( 0.361) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.4204e+01 (2.4421e+01) Inst_Loss_A 2.4312e+01 (2.4657e+01) Inst_Loss_B 2.4097e+01 (2.4185e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [0][30/69] Time  0.321 ( 1.035) Data  0.000 ( 0.245) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.1759e+01 (2.3854e+01) Inst_Loss_A 2.1627e+01 (2.4026e+01) Inst_Loss_B 2.1892e+01 (2.3681e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [0][40/69] Time  0.310 ( 0.860) Data  0.000 ( 0.185) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0235e+01 (2.3031e+01) Inst_Loss_A 1.9782e+01 (2.3105e+01) Inst_Loss_B 2.0688e+01 (2.2956e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [0][50/69] Time  0.317 ( 0.754) Data  0.000 ( 0.149) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9713e+01 (2.2439e+01) Inst_Loss_A 1.9205e+01 (2.2452e+01) Inst_Loss_B 2.0220e+01 (2.2425e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [0][60/69] Time  0.315 ( 0.683) Data  0.000 ( 0.125) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9535e+01 (2.1995e+01) Inst_Loss_A 1.8981e+01 (2.1935e+01) Inst_Loss_B 2.0089e+01 (2.2055e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [1][ 0/69] Time  7.012 ( 7.012) Data  6.522 ( 6.522) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9826e+01 (1.9826e+01) Inst_Loss_A 1.9027e+01 (1.9027e+01) Inst_Loss_B 2.0624e+01 (2.0624e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [1][10/69] Time  0.339 ( 1.147) Data  0.000 ( 0.751) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9464e+01 (1.9671e+01) Inst_Loss_A 1.9007e+01 (1.9065e+01) Inst_Loss_B 1.9920e+01 (2.0277e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [1][20/69] Time  0.318 ( 0.753) Data  0.000 ( 0.394) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9480e+01 (1.9617e+01) Inst_Loss_A 1.8694e+01 (1.9113e+01) Inst_Loss_B 2.0267e+01 (2.0121e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [1][30/69] Time  0.319 ( 0.613) Data  0.000 ( 0.267) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9389e+01 (1.9606e+01) Inst_Loss_A 1.8969e+01 (1.9089e+01) Inst_Loss_B 1.9810e+01 (2.0123e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [1][40/69] Time  0.318 ( 0.541) Data  0.000 ( 0.202) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9434e+01 (1.9658e+01) Inst_Loss_A 1.8469e+01 (1.9125e+01) Inst_Loss_B 2.0399e+01 (2.0192e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [1][50/69] Time  0.316 ( 0.497) Data  0.000 ( 0.162) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9934e+01 (1.9709e+01) Inst_Loss_A 1.9279e+01 (1.9166e+01) Inst_Loss_B 2.0589e+01 (2.0251e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [1][60/69] Time  0.309 ( 0.468) Data  0.000 ( 0.136) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9906e+01 (1.9724e+01) Inst_Loss_A 1.9221e+01 (1.9165e+01) Inst_Loss_B 2.0591e+01 (2.0282e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
